﻿#BGMStart,

#name,
#message,それから数日が経ち、通常授業が,始まったころには……
#keywait

#1pface,0
#name,プレイヤー１
#message,しっかし、珍しい学校だよな。,昼休みは屋上開放とは
#keywait

#Karenface,1
#name,華恋
#message,ふふ、でも、そのおかげで,皆で美味しいお昼が食べられるね？
#keywait

#2pface,0
#name,プレイヤー２
#message,（笑顔が眩しすぎる、天使かな？）
#keywait

#Karenface,-1
#1pface,-1
#2pface,-1
#name,
#message,３人揃って、屋上で昼食を摂るように,なっていた。
#keywait

#name,
#message,もちろん、俺たちは下心――もとい、,  純粋な恋心からの行動であるが。
#keywait


#Karenface,1
#name,華恋
#message,でも、私は楽しいよ。,３人で食べるごはん。
#keywait


#name,
#message,！！
#keywait

#name,華恋
#message,昔……私たちがまだちっちゃい頃ね？,ミニピクニックだーって言って、
#keywait

#name,華恋
#message,わざわざ近くの公園に、お昼食べるため,だけに集まったりしたの、覚えてる？
#keywait

#name,プレイヤー２
#message,あー……あれな。懐かしい……
#keywait

#name,
#message,華恋の言うとおり、そんな無邪気な時期
,もあった。
#keywait

#name,華恋
#message,ふふ、２人ともボーっとしちゃって。,それ、いただきっ！
#keywait

#name,両プレイヤー
#message,あ” っ！？
#keywait

#name,
#message,華恋は素早く箸を伸ばし、俺たちの,弁当箱に入っていた卵焼きを口へ運ぶ。
#keywait

#name,
#message,固まる男２人をよそに、可愛らしい,盗賊は戦利品に舌鼓。
#keywait

#name,華恋
#message,ん～、おいしい！さすがお母様方！,片方は甘くて片方は甘くないね
#keywait

#name,華恋
#message,どっちがどっちなんだろ?
#keywait

#Karenface,-1
#1pface,0
#2pface,0
#name,
#message,衝撃が走る。
#keywait


#name,
#message,卵焼きには、大きく分けて２つが,存在する。
#keywait

#name,
#message,華恋の言った通り。,「甘いもの」と「甘くないもの」だ。
#keywait

#name,
#message,そしてその２つの間には、,海より深い断絶が存在する――
#keywait

#name,
#message,華恋も人間である以上、,必ず好みがあるはずだ。
#keywait


#name,
#message,うまく好みに誘導できれば、,　仲が深まる……のか……！？
#keywait

#1pface,-1
#2pface,-1
#label,甘いほうが俺のだよ,甘くないのが俺だ,お返しだ、唐揚げもーらい！

//甘い


#sentaku,1
#name, 択プレイヤー
#message,俺は華恋の好みを知らない。,俺とした事が情けないが、一か八かだ。
#keywait

#name, 択プレイヤー
#message,そう決心した俺は、口を開いた――,のが、間違いだった。
#keywait

#name,両プレイヤー
#message,多分俺だわ、甘いやつ
#keywait

#name, 択プレイヤー
#message,……ん？
#keywait

#Karenface,0
#name,華恋
#message,？
#keywait

#name, 択プレイヤー
#message,……しまった。
#keywait

#name, 択プレイヤー
#message,華恋の好みと合わせることに集中して、,失念していた。
#keywait

#name, 択プレイヤー
#message,俺の弁当に入っていたのは、,「甘くない卵焼き」だということを。
#keywait

#name, 択プレイヤー
#message,その俺が嘘をつけば必然、わけがわからなくなるだろ……！
#keywait

#name,非プレイヤー
#message,あれ、片方は甘くないんじゃないのか？
#keywait


#name,華恋
#message,ん～、勘違いだったかな？
#keywait

#name, 択プレイヤー
#message,はは……。
#keywait


#name, 択プレイヤー
#message,……変な空気にしてしまった。,悪いことはするものではない……。
#keywait

//選択肢
//甘くないやつ


#sentaku,2
#name, 択プレイヤー
#message,俺は華恋の好みを知らない。,俺とした事が情けないが、一か八かだ。
#keywait

#name, 択プレイヤー
#message,そう決心した俺は、口を開いた――,のが、間違いだった。
#keywait

#name,両プレイヤー
#message,多分俺だわ、甘くないやつ
#keywait

#name, 択プレイヤー
#message,……ん？
#keywait

#Karenface,0
#name,華恋
#message,？
#keywait

#name, 択プレイヤー
#message,……しまった。
#keywait

#name, 択プレイヤー
#message,華恋の好みと合わせることに集中して、,失念していた。
#keywait

#name, 択プレイヤー
#message,俺の弁当に入っていたのは、,「甘い卵焼き」
だということを。
#keywait

#name, 択プレイヤー
#message,その俺が嘘をつけば必然、,わけがわからなくなるだろ……！
#keywait

#name,非プレイヤー
#message,あれ、片方は甘いんじゃないのか？
#keywait

#name,華恋
#message,ん～、勘違いだったかな？
#keywait

#name, 択プレイヤー
#message,はは……。
#keywait

#name,
#message,……変な空気にしてしまった。,悪いことはするものではない……。
#keywait

//選択肢

//からあげ

#sentaku,3
#name, 択プレイヤー
#message,いや、そんなことはどうでもいい。,食べ盛りから昼食を奪った罪は重い…！
#keywait

#name, 択プレイヤー
#message,うお、やりおったな！,ならば俺もッ！そうらいただきッ！
#keywait

#Karenface,2
#name,華恋
#message,ああ～っ、私のから揚げ！？
#keywait

#name, 択プレイヤー
#message,うむ、ジューシー。
#keywait

#name,華恋
#message,うええひどいよ択プレイヤーくん！,……あはは、これも懐かしいね
#keywait

#name, 択プレイヤー
#message,……そうか？
#keywait

#Karenface,-1
#Karenface,1
#name,華恋
#message,うん、「ピクニック」の時も、,こんな感じだったなぁって
#keywait

#name,華恋
#message,……それはそれとして！
#keywait

#name,華恋
#message,から揚げと卵焼きでは、,釣り合いが取れていないと思います！
#keywait

#name, 択プレイヤー
#message,……その心は？
#keywait

#name,華恋
#message,卵焼き、もういっこちょうだい？
#keywait

#name, 
#message,おお、存外良い雰囲気。,こういう積み重ねが大事なんだよな。
#keywait

#name,
#message,……結局、華恋の好みは,どっちだったんだろうな？
#keywait


#BGMStop,
#end
